county,name,phone,website
ks,Center for Human Services,206.362.7282,https://www.chs-nw.org
k,Center for Multicultural Health,206.461.6910,cschc.org
p,Community Counseling Institue,866.213.1818,https://www.cciwa.org
s,Compass Health,844.822.7609,https://www.compasshealth.org
kpsw,Evergreen Council of Problem Gambling,800.547.6133,https://www.evergreencpg.org
k,King County Needle Exchange,"206.263.2000, opt.2",https://www.kingcounty.gov/needle
kpw,North America Syringe Exchange Network,253.272.4857,https://www.nasen.org
ks,Ryther,206.535.5050,https://www.ryther.org
k,Sound,206.302.2300,https://www.sound.health
k,Therapeutic Health Services,206.322.7676,https://www.ths-wa.org
s,Therapeutic Health Services,425.263.3006,https://www.ths-wa.org
kpsw,Wraparound/WISe,"",https://www.hca.wa.gov
k,Alateen & Alanon,206.625.0000,https://www.seattle-al-anon.org
p,Alateen & Alanon,1.800.726.8094,https://www.al-anon-pierce-wa.org
s,Alateen & Alanon,425.348.7828,https://www.dist23.org
k,Alcoholics Anonymous,206.587.2838,https://www.seattleaa.org
s,Alcoholics Anonymous,425.252.2525,https://www.snocoaa.org
kpsw,Evergreen Council on Problem Gambling,1.800.527.6133,https://www.evergreencpg.org
w,Gamblers Anonymous,1.855.222.5542,https://www.gamblersanonymous.org
kpsw,Marijuana Anonymous,206.414.9270,https://www.madistrict4.org
k,Narcotics Anonymous,206.790.8888,https://www.seattlena.org
p,Narcotics Anonymous,253.531.8792,https://www.pcana.org
s,Narcotics Anonymous,425.609.6170,https://www.everettwana.org
p,Puget Sound Alcoholics Anonymous,253.474.8897,https://www.pugetsoundaa.org
kpsw,Wraparound/WISe,"",https://www.hca.wa.gov
kps,Compass Health,844.822.7609,https://www.compasshealth.org
ks,Center for Human Services,206.362.7282,https://www.chs-nw.org
kp,Consejo Counseling & Referral Service,206.461.4880,https://www.consejocounseling.org
p,Greater Lakes Mental Health Care,253.581.7020,https://www.glmhc.org
p,HopeSparks Family Services,253.565.4484,https://www.hopesparks.org
k,Friends of Youth,425.392.6367,https://www.friendsofyouth.org
