county,name,phone,website
k,24-Hour Crisis Line,1.866.4CRISIS,https://www.crisisconnections.org/24-hour-crisis-line/
kpsw,Boys Town National Hotline,1.800.448.3000,https://www.yourlifeyourvoice.org
k,Children’s Crisis Response Outreach Service (CCORS),206.461.3222,https://www.seattleymca.org/accelerator/familysupport/ccors
s,Crisis Outreach Team (MCOT) - Compass Health,1.800.584.3578,https://www.compasshealth.org/services/mcot
kpsw,Crisis Text Line,741741 Text-based support. Text “hello”,""
k,Forefront Suicide Prevention,206.543.1016,https://www.intheforefront.org
kpsw,National Suicide Prevention Lifeline,1.800.273.8255,""
kpsw,National Suicide Prevention Lifeline Español,1.800.628.9454,""
p,Pierce County Crisis Line,1.800.576.7764,""
kpsw,Society for the Prevention of Teen Suicide,"",https://www.sptsusa.org
kpsw,The Trevor Project,1.866.488.7386,https://www.thetrevorproject.org
kpsw,Trans Lifeline,1.877.565.8860,https://www.translifeline.org
s,Volunteers of America Western WA,1.800.584.3578,imhurting.org
w,Adolescent Self Injury Foundation,"",https://www.adolescentselfinjuryfoundation.com
w,SAFE (Self Abuse Finally Ends) Alternatives,1.800.366.8288,https://www.selfinjury.com
w,Self-Injury Outreach & Support,"",https://www.sioutreach.org
w,To Write Love on Her Arms,"",https://www.twloha.com
