county,name,phone,website
kpsw,Emergency Number,9.1.1,""
kp,MultiCare Tacoma General Hospital,253.403.1000,https://www.multicare.org/sexual-assault-services
kpsw,Rape Abuse & Incest National Network (R.A.I.N.N),1.800.552.7103,https://www.rainn.org
p,Rebuilding Hope! Sexual Assault Center for Pierce County,1.800.756.7273,https://www.sexualassaultcenter.com
p,Sex Trafficking and Exploitation Program,253.444.5351,sexualassaultcenter.com
kpsw,1 in 6,1.877.628.1in6 (1466),1in6.org
k,Abused Deaf Women’s Advocacy Services (ADWAS),206.812.1001,https://www.adwas.org
k,Asian/Pacific Islander Chaya,1.877.922.4292,https://www.apichaya.org
s,Dawson Place Child Advocacy Center,425.789.3000,https://www.dawsonplace.org
k,Harborview Center for Sexual Assault & Traumatic Stress,206.744.1600,https://www.hcsats.org
k,King County Sexual Assault Resource Center,1.888.99.VOICE(6423),https://www.kcsarc.org
s,Legacy of Healing- Advocacy center & Safe House,360.716.4100,https://www.tulaliptribes-nsn.gov/dept/legacyofhealing
p,Mutlicare Tacoma General Hospital,253.403.1000,https://www.multicare.org/sexual-assault-service
p,Sexual Assault Center for Pierce County,1.800.756.7273,https://www.sexualassaultcenter.com
kpsw,WA Coalition of Sexual Assault Programs,WA Coalition of Sexual Assault Programs,https://www.wcsap.org/help/csap-by-city
