county,name,phone,website
k,Center for Multicultural Health,206.461.6910,cschc.org
k,Gay City,206.323.LGBT,https://www.gaycity.org
k,Health Education Youth Outreach (HEYO),206.957.1639,https://www.lifelong.org/heyo
k,Ingersoll Gender Center,"",https://www.ingersollgendercenter.org
k,Lambert House,206.322.2515,https://www.lamberthouse.org
k,Northwest Network of Bisexual Trans Lesbian & Gay Survivors of Abuse,206.568.7777,https://www.nwnetwork.org
k,Parents Families & Friends of Lesbians & Gays (PFLAG Seattle Chapter),206.325.7724,https://www.pflagseattle.org
k,Queer Trans Youth Music Project (QTYMP),"",https://www.qtymp.org
k,Seattle Counseling Service (18+),206.323.1768,https://www.seattlecounseling.org
kpsw,Trans Lifeline,1.877.565.8860,https://www.translifeline.org
k,Youth Eastside Services - B-Glad,425.747.4937,https://www.youtheastsideservices.org
s,GLOBE,425.242.6188,https://www.globeyouth.com
s,PFLAG-Snohomish County,"",https://www.pflag.org/chapter/pflag-everett
p,Oasis Youth Center,253.671.2838,https://www.oasisyouthcenter.org
p,Rainbow Center,253.383.2318,https://www.rainbowcntr.org
